code,name,unit,sampling_rate,logging_interval
ID_0056,Cycle Count,,,
ID_0005,Number of cell bms supported,,,
ID_0011,Error State of the BMS,,,
ID_0015,Balancing Control Feedback,,,
ID_0053,Dongle ID,,,
ID_0054,Release version,,,
ID_0004,SOC,,,
ID_0003,Battery current,mA,,
ID_0052,Ah_out_sum over lifetime,mAh,,
ID_0051,Ah_in_sum over lifetime,mAh,,
ID_0035,V_cell_5 _minimum over sampling period,mV,,
ID_0008,Highest cell voltage,mV,,
ID_0007,Lowest cell voltage,mV,,
ID_0046,V_cell_16 _minimum over sampling period,mV,,
ID_0050,V_cell_20 _minimum over sampling period,mV,,
ID_0031,V_cell_1 _minimum over sampling period,mV,,
ID_0037,_cell_7 _minimum over sampling period,mV,,
ID_0038,V_cell_8 _minimum over sampling period,mV,,
ID_0036,V_cell_6 _minimum over sampling period,mV,,
ID_0040,V_cell_10 _minimum over sampling period,mV,,
ID_0047,V_cell_17 _minimum over sampling period,mV,,
ID_0045,"	V_cell_15 _minimum over sampling period",mV,,
ID_0049,V_cell_19 _minimum over sampling period,mV,,
ID_0006,Center voltage,mV,,
ID_0039,V_cell_9 _minimum over sampling period,mV,,
ID_0043,V_cell_13 _minimum over sampling period,mV,,
ID_0002,Battery voltage,mV,,
ID_0041,V_cell_11 _minimum over sampling period,mV,,
ID_0048,V_cell_18 _minimum over sampling period,mV,,
ID_0032,V_cell_2 _minimum over sampling period,mV,,
ID_0042,V_cell_12 _minimum over sampling period,mV,,
ID_0044,V_cell_14_minimum over sampling period,mV,,
ID_0034,V_cell_4 _minimum over sampling period,mV,,
ID_0033,V_cell_3 _minimum over sampling period,mV,,
ID_0001,Timestamp,s,,
ID_0055,Sampling  interval,s,,
ID_0009,Max_temp of cells,°C,,
ID_0010,Max temp of BMS,°C,,
